,id,ra,dec,z_spec,z_phot,log_mass,log_sfr,is_mass_clumpy,is_UV_clumpy
264,3249,150.68193,1.7418137,-1.0,1.353,10.52,1.3378584290410944,False,False
265,3250,150.42308,1.7424674,-1.0,1.678,10.45,2.116564578018461,True,True
266,3255,150.38998,1.7423815,0.9722,0.948,9.88,1.321701969500738,True,False
267,3284,150.37994,1.7422405,-1.0,1.4,10.28,1.3147096929551738,False,False
268,3297,150.66283,1.7441521,-1.0,1.523,10.45,1.8699940001217417,False,True
269,3301,150.45116,1.7434649,-1.0,0.928,10.29,0.2019430634016502,False,False
270,3314,150.58128,1.7448256,-1.0,0.612,9.8,0.1936810295412815,True,True
271,3334,150.37955,1.7448941,-1.0,0.694,9.92,0.8311656339094424,True,True
272,3351,150.38307,1.7451632,0.702,0.694,10.09,0.6151079874431941,True,False
273,3362,150.67467,1.7463166,-1.0,0.948,9.82,0.9088601730172764,True,True
274,3367,150.41216,1.7461861,-1.0,1.217,10.09,1.2058266593593416,False,False
275,3373,150.46983,1.7455204,-1.0,1.109,10.0,1.0727644210507503,True,True
276,3384,150.40617,1.7464889,-1.0,0.928,9.97,1.2492228239966745,False,True
277,3412,150.45966,1.7465295,-1.0,1.377,10.37,1.899026670308233,False,False
278,3413,150.48824,1.7466702,-1.0,0.909,10.01,1.297651103243182,False,False
279,3414,150.43958,1.7470946,-1.0,0.928,9.86,0.1408221801093105,False,True
280,3415,150.67749,1.7463129,-1.0,0.661,10.02,1.2718648302193956,True,False
281,3441,150.67555,1.7445945,-1.0,0.628,10.11,0.8428587624452937,False,False
282,3486,150.47382,1.7487425,-1.0,0.948,9.95,1.0059951230546913,True,True
283,3515,150.60382,1.7486875,-1.0,1.261,10.64,1.7461513812314826,False,True
284,3526,150.6107,1.7494411,-1.0,1.109,10.48,0.7639518260333242,False,True
285,3528,150.48013,1.7497079,-1.0,1.027,10.25,1.421390017067081,True,True
286,3531,150.61243,1.7500381,-1.0,1.109,10.38,1.364006613705671,False,True
287,3545,150.51378,1.7499943,-1.0,1.261,10.98,1.2326404020269432,False,True
288,3555,150.6879,1.7501837,-1.0,0.504,9.83,0.7093547758343961,False,True
289,3564,150.64586,1.7481846,-1.0,1.261,10.63,1.5063561832454304,False,True
290,3569,150.46086,1.7507133,-1.0,0.967,10.53,1.2350737146995066,False,False
291,3571,150.43352,1.7505416,-1.0,1.787,10.8,2.176626558882948,False,False
292,3576,150.63098,1.7508848,-1.0,0.967,10.17,0.752509400788843,False,False
293,3579,150.67213,1.7513844,-1.0,1.068,9.91,0.4192947217534605,False,True
294,3615,150.50444,1.7508911,-1.0,1.871,10.88,2.177784597327014,False,False
295,3650,150.48305,1.7479604,-1.0,0.534,10.71,1.1981895565168217,False,True
