ID, Smass, SFR, Mass_Clumpy, UV_Clumpy, O3727, O4959, O5007, HBeta, R23
54672.0,11.06,0.9854713832895876,0.0,1.0,0.7897,441.6945,55.4243,39.8936,251.0709,2.138887461669194
54714.0,10.77,1.9279141739033367,0.0,0.0,0.7387,943.6769,1550.5614,4623.001,763.7612,9.3186709406029
54722.0,10.33,1.4955859612209277,0.0,1.0,0.9444,779.8587,-99.0,-99.0,-99.0,-5.877360606060606
54736.0,10.03,0.5527898501927819,0.0,1.0,0.88,472.7247,-99.0,-99.0,-99.0,-2.7749969696969696
54860.0,10.95,1.0371475036325548,0.0,0.0,0.7907,238.8172,-99.0,-99.0,167.1994,0.24412288560844125
55210.0,10.09,0.864451747158183,0.0,0.0,0.7639,216.4169,34.4293,115.4326,246.2235,1.487586684455383
55351.0,10.18,1.7014989068814692,1.0,0.0,0.8038,1162.0736,-99.0,-99.0,819.3851,1.1765818050633334
55481.0,10.07,1.1184300771220892,1.0,0.0,0.834,-99.0,55.17,171.3122,389.0637,0.3276640817429125
55481.0,10.07,1.1184300771220892,1.0,0.0,0.834,-99.0,55.17,171.3122,389.0637,0.3276640817429125
55866.0,10.08,1.0049658871068234,0.0,0.0,0.7005,1488.6881,142.311,675.557,802.2359,2.8751594138332623
55984.0,10.09,0.941063988219902,0.0,0.0,0.6616,-99.0,34.941,109.5714,283.1777,0.1607202827058769
56054.0,10.43,1.3908821411319856,1.0,0.0,0.7124,290.5302,114.7778,392.5179,416.0974,1.9174017910229673
56221.0,10.43,1.608408351641706,1.0,1.0,0.6713,243.7073,375.9947,-99.0,445.0755,1.1699183621655203
56302.0,10.7,1.6459034603583809,0.0,1.0,1.0241,320.5535,-99.0,-99.0,-99.0,-1.2379141414141412
56325.0,10.91,1.557651541733687,0.0,1.0,0.701,-99.0,114.3015,346.3192,1317.9169,0.2743880892642018
56325.0,10.91,1.557651541733687,0.0,1.0,0.701,-99.0,114.3015,346.3192,1317.9169,0.2743880892642018
56499.0,10.93,1.4595884792320082,0.0,0.0,0.7434,-99.0,123.5344,218.0824,718.0807,0.33786843177932513
56648.0,10.48,0.9816374246557692,0.0,0.0,0.6616,-99.0,15.2318,47.6627,59.5168,-0.6066438383784075
56648.0,10.48,0.9816374246557692,0.0,0.0,0.6616,-99.0,15.2318,47.6627,59.5168,-0.6066438383784075
56683.0,10.67,0.1947917577219246,0.0,1.0,0.6706,-99.0,73.1522,172.7095,218.8601,0.6710300324271075
56919.0,10.11,0.8948143290833008,0.0,0.0,0.687,432.3585,51.0296,144.6511,408.5197,1.5373535229757587
56922.0,10.12,0.7914099156671601,1.0,1.0,0.6017,-99.0,88.5497,218.2747,227.679,0.9127956465023125
57127.0,10.13,0.266936911159173,1.0,0.0,0.9768,215.3853,-99.0,-99.0,-99.0,-0.1756090909090909
